序號,標題,地址,價格,價格單位,房屋類型,格局,坪數,樓層,連結,抓取時間,可住人數,身份要求,緯度,經度,設施,冰箱,洗衣機,電視,冷氣,熱水器,床,衣櫃,第四台,網路WiFi,天然瓦斯,沙發,桌椅,陽台,電梯,車位,浴缸
15,稀有靜謐大露臺、租屋補助、獨立進出、包裹及垃圾代收、近葫州站,內湖區-東湖路113巷,25000,元/月,私人套房,樓中樓,25坪,頂樓加蓋/5F,https://rent.591.com.tw/21578093,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0741681,121.6161472,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、天然瓦斯、桌椅、陽台,有,有,有,有,有,有,有,有,有,有,無,有,有,無,無,
16,🚉近南京復興站✨獨立陽台✨可開伙✨管理員✨車位可租,中山區-合江街,54000,元/月,整棟出租,2房2廳,24.2坪,4F/11F,https://rent.591.com.tw/21632863,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0565704,121.5401702,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,無,有,有,有,有,有,
17,✨內湖五期美式綠意美宅❤️奢華氣派頂級飯店式管理⭐等您來賞屋,內湖區-金莊路,72000,元/月,整棟出租,2房2廳,28坪,4F/11F,https://rent.591.com.tw/21591064,2026-07-17 23:52:50,2人,學生、上班族、家庭,,,冰箱、洗衣機、電視、冷氣、熱水器、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,無,無,無,無,無,有,有,有,有,有,
18,可寵｜忠孝新生三創全新社區1+1房English,大安區-市民大道三段,39999,元/月,整棟出租,2房1廳,9.7坪,9F/13F,https://rent.591.com.tw/21639334,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0461199,121.5344016,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,無,有,有,有,有,有,
19,西湖ＭＲＴ｜泳池層峰豪邸｜百坪使用｜全新裝潢首次釋出,內湖區-內湖路一段411巷,400000,元/月,整棟出租,3房2廳,108坪,2F/28F,https://rent.591.com.tw/21628036,2026-07-17 23:52:50,3人,學生、上班族、家庭,25.0847436,121.5716600,冰箱、冷氣、熱水器、衣櫃、天然瓦斯、陽台、電梯、車位,有,無,無,有,有,無,有,無,無,有,無,無,有,有,有,
20,社宅可租補💖大空間機能優💖,中山區-中山北路二段77巷,13000,元/月,私人套房,,9.8坪,6F/10F,https://rent.591.com.tw/17475000,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0568533,121.5235739,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、電梯,有,有,有,有,有,有,有,無,無,無,無,無,無,有,無,
21,可寵｜忠孝新生三創全新社區1+1房English,大安區-市民大道三段,39999,元/月,整棟出租,1房1廳,9.7坪,9F/13F,https://rent.591.com.tw/21639320,2026-07-17 23:52:50,1人,學生、上班族、家庭,25.0461199,121.5344016,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,無,有,有,有,有,有,
22,自租仁愛A+挑高大套房有裝潢有陽台有天然瓦斯,大安區-大安路一段,37000,元/月,私人套房,樓中樓,15.5坪,6F/12F,https://rent.591.com.tw/21510625,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0340169,121.5450396,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,無,有,有,無,
23,雙租補｜中山國小泳池社區流理台垃圾代收English,中山區-農安街,33999,元/月,私人套房,,15.2坪,11F/14F,https://rent.591.com.tw/21595842,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0656977,121.5238922,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,無,有,有,有,有,無,
24,🚇行天宮站230M✨台北蛋黃區✨可雙租補✨拎包入住✨機能優,中山區-松江路362巷,34500,元/月,整棟出租,2房1廳,15坪,6F/7F,https://rent.591.com.tw/21649202,2026-07-17 23:52:50,2人,學生、上班族、家庭,,,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、電梯,有,有,有,有,有,有,有,有,有,無,有,,無,有,無,
25,氣派公設內湖站全配大套房,內湖區-成功路四段,72350,元/月,其他,1房1廳,14坪,8F/15F,https://rent.591.com.tw/21521735,2026-07-17 23:52:50,1人,學生、上班族、家庭,25.0829163,121.5935112,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,有,有,無,有,有,有,有,無,
26,MRT東湖站★溫馨電梯三房/絕佳商圈機能,內湖區-康寧路三段189巷21弄,52000,元/月,整棟出租,3房2廳,37.4坪,4F/14F,https://rent.591.com.tw/21610629,2026-07-17 23:52:50,3人,學生、上班族、家庭,25.0709256,121.6121936,洗衣機、冷氣、熱水器、床、衣櫃、天然瓦斯、陽台、電梯、車位,無,有,無,有,有,有,有,無,無,有,無,無,有,有,有,
27,❤️友善屋源❤️社宅⭐中山⭐可租補⭐免仲介費⭐請加line,中山區-德惠街,16500,元/月,私人套房,,6.4坪,10F/11F,https://rent.591.com.tw/21592738,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0665830,121.5264170,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、電梯,有,有,有,有,有,有,有,無,無,無,有,無,無,有,無,
28,雙租補>聯網大TV+浴室暖機+滾洗衣1大陽臺1房1廳1衛,中正區-汀州路三段,36888,元/月,私人套房,,20坪,2F/3F,https://rent.591.com.tw/21617457,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.017517,121.52894,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、網路WiFi、沙發、桌椅、陽台,有,有,有,有,有,有,有,無,有,無,有,有,有,無,無,
29,免仲❗屋主自租🏠中山松悅/全新落成首租屋/含車位(可短租),中山區-中山北路一段112巷,99000,元/月,整棟出租,3房2廳,34.1坪,10F/12F,https://rent.591.com.tw/20477427,2026-07-17 23:52:50,3人,,25.0499222,121.5198411,天然瓦斯、陽台、電梯、車位,無,無,無,無,無,無,無,無,無,有,無,無,有,有,有,
30,楷軒嚴選✨專任新世界套房！拎包即住✨,信義區-松勤街9號,35000,元/月,私人套房,,10坪,12F/19F,https://rent.591.com.tw/21630727,2026-07-17 23:52:50,2人,學生、上班族、家庭,25.0328035,121.5620374,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、電梯,有,有,有,有,有,有,有,有,有,無,有,有,無,有,無,
31,雙租補>聯網大TV+浴室暖風+滾洗衣-近捷運2房1廳1廚1衛,中正區-汀州路三段91號,48888,元/月,整棟出租,2房1廳,23坪,2F/3F,https://rent.591.com.tw/21521317,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.017517,121.52894,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、網路WiFi、沙發、桌椅、車位,有,有,有,有,有,有,有,無,有,無,有,有,無,無,有,
32,💞行天宮❤️小資共用套房🐈‍⬛可養貓貓✅可租補,中山區-松江路362巷,12000,元/月,共用套房,,6坪,3F/5F,https://rent.591.com.tw/21556791,2026-07-17 23:52:52,1人,學生、上班族、家庭,25.062053,121.530888,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、天然瓦斯、桌椅,有,有,有,有,有,有,有,有,有,有,無,有,無,無,無,
33,稀有大空間電梯3房🌟可租補🌟家庭首選🌲鄰近青年公園,萬華區-青年路68巷3弄,43000,元/月,整棟出租,3房2廳,47.5坪,7F/7F,https://rent.591.com.tw/21652543,2026-07-17 23:52:52,3人,學生、上班族、家庭,25.0244853,121.5029605,冷氣、熱水器、衣櫃、天然瓦斯、陽台、電梯,無,無,無,有,有,無,有,無,無,有,無,無,有,有,無,
34,信義計畫區分租套/共用套房可短租！,信義區-信義路五段,13500,元/月,共用套房,,6坪,4F/12F,https://rent.591.com.tw/21544041,2026-07-17 23:52:52,1人,學生、上班族、家庭,25.0334472,121.5734196,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台,有,有,有,有,有,有,有,無,無,無,有,有,有,無,無,
35,學生合租、廚房可煮、陽台可曬、南機場夜市,中正區-中華路二段,26000,元/月,整棟出租,3房2廳,30坪,4F/5F,https://rent.591.com.tw/21575780,2026-07-17 23:52:52,3人,學生、上班族、家庭,25.0264295,121.5076851,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、天然瓦斯、桌椅、陽台,有,有,無,有,有,有,有,無,無,有,無,有,有,無,無,
36,舒適四米二、保全管理、垃圾代收、鄰象山站,信義區-信義路五段,30000,元/月,私人套房,樓中樓,20坪,5F/12F,https://rent.591.com.tw/21575850,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.0327974,121.5719535,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、電梯,有,有,有,有,有,有,有,無,無,無,有,有,無,有,無,
37,信義安和三米六樓中樓｜流理台陽台垃圾信件代收,信義區-光復南路,19999,元/月,私人套房,樓中樓,9坪,7F/13F,https://rent.591.com.tw/21652281,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.0327323,121.5585604,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,無,有,有,有,有,有,
38,忠孝敦化站後方大樓室內坡平大車位,大安區-忠孝東路四段,9500,元/月,車位,平面式,14.3坪,,https://rent.591.com.tw/21510825,2026-07-17 23:52:52,,,25.0416313,121.5513817,,,,,,,,,,,,,,,,,
39,2樓~套房全新設備全新變頻冷氣及租金含水費及網路,中山區-林森北路119巷,11000,元/月,私人套房,,7坪,2F/5F,https://rent.591.com.tw/21569415,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.0498860,121.5246980,冷氣、熱水器、床、衣櫃、網路WiFi、桌椅,無,無,無,有,有,有,有,無,有,無,無,有,無,無,無,
40,🚊萬華車站2分鐘🌟全新成屋🌟高樓層高採光🌟生活機能優,萬華區-艋舺大道,38000,元/月,整棟出租,2房1廳,21.9坪,6F/11F,https://rent.591.com.tw/21652553,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.03272,121.4996813,冷氣、熱水器、天然瓦斯、陽台、電梯,無,無,無,有,有,無,無,無,無,有,無,無,有,有,無,
41,🚊萬華車站5分鐘🌟全新高樓採光房🌟附全套家具🌟可租補,萬華區-艋舺大道,40000,元/月,整棟出租,2房1廳,19坪,8F/11F,https://rent.591.com.tw/21652558,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.0324582,121.5022444,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,
42,近六張犁捷運站/電梯溫馨陽台套房/近101北醫,信義區-基隆路二段,29000,元/月,私人套房,,9.2坪,5F/13F,https://rent.591.com.tw/21519813,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.0282402,121.5569077,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,,有,有,無,
43,永康商圈*可合租*一層一戶,大安區-潮州街,46000,元/月,整棟出租,4房2廳,35.1坪,4F/7F,https://rent.591.com.tw/21627821,2026-07-17 23:52:52,4人,學生、上班族、家庭,25.0290597,121.5305767,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
44,⭐近捷運中山國中站⭐龍江路⭐社會住宅⭐可租補⭐有管理,中山區-龍江路,24000,元/月,私人套房,,10.5坪,8F/8F,https://rent.591.com.tw/21560368,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.0610031,121.5406966,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、桌椅、電梯,有,有,有,有,有,有,有,無,無,無,無,有,無,有,無,
45,專約🏆寅將團隊🏆饒河夜市💕裝潢拎包入住三房車,松山區-饒河街,70000,元/月,整棟出租,3房2廳,22.1坪,12F/18F,https://rent.591.com.tw/21571055,2026-07-17 23:52:52,3人,上班族、家庭,25.0515222,121.5769069,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
46,🏠採光2+1房💎家電完備⭐鄰近學區生活機能佳,中正區-汀州路一段,39999,元/月,整棟出租,3房2廳,18.1坪,4F/10F,https://rent.591.com.tw/21522410,2026-07-17 23:52:52,3人,學生、上班族、家庭,25.0290113,121.5096903,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,無,有,有,有,無,
47,捷運北門*全新首租*設計師裝潢*1.5衛*屋況機能佳*可租補,萬華區-開封街二段,59999,元/月,整棟出租,3房2廳,31.9坪,6F/15F,https://rent.591.com.tw/21652451,2026-07-17 23:52:52,3人,學生、上班族、家庭,25.0466432,121.506333,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
48,雙租補>聯網大TV+浴室暖機+滾洗衣.捷運5分全新1房1廚1,中正區-汀州路三段91號,28888,元/月,私人套房,,10坪,3F/3F,https://rent.591.com.tw/21521312,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.017517,121.52894,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、網路WiFi、桌椅、車位,有,有,有,有,有,有,有,無,有,無,無,有,無,無,有,
49,雙租補｜永春一分鐘EAT四米二1+1挑高可站English,信義區-忠孝東路五段,34999,元/月,整棟出租,1房1廳,12.4坪,5F/11F,https://rent.591.com.tw/21636084,2026-07-17 23:52:52,1人,學生、上班族、家庭,25.0402098,121.5753519,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,無,有,有,有,有,有,
50,世貿7分&大廚房&獨洗曬&收垃圾&外窗,信義區-吳興街134號,188000,元/月,私人套房,,10.6坪,2F/5F,https://rent.591.com.tw/21650851,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.029689,121.561309,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、網路WiFi、天然瓦斯、沙發、桌椅、陽台,有,有,有,有,有,有,有,無,有,有,有,有,有,無,無,
51,松江南京｜屋新寧靜｜雙捷運｜高樓邊間雙面採光｜,中山區-南京東路三段89巷27弄,64000,元/月,整棟出租,2房1廳,27.5坪,6F/10F,https://rent.591.com.tw/21649964,2026-07-17 23:52:52,2人,,25.0525345,121.5380771,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、陽台、電梯,有,有,有,有,有,有,有,無,無,無,有,,有,有,無,
52,⭐可租補可入籍⭐大三房⭐可炊⭐台北韓國學校旁⭐包裹代收⭐,萬華區-青年路68巷3弄,43000,元/月,整棟出租,3房2廳,47.5坪,6F/7F,https://rent.591.com.tw/21635167,2026-07-17 23:52:52,3人,學生、上班族、家庭,25.0237744,121.5022496,冷氣、熱水器、衣櫃、天然瓦斯、陽台、電梯,無,無,無,有,有,無,有,無,無,有,無,無,有,有,無,
53,市高好停!懷生國小豪宅室內車位3100元!,中山區-市民大道三段167號,3100,元/月,車位,機械式,5坪,,https://rent.591.com.tw/21639862,2026-07-17 23:52:52,,,25.0440848,121.5401068,,,,,,,,,,,,,,,,,
54,民權西站*全新首租*第一手入住*家電可討論*採光佳*可租補,大同區-民權西路,52999,元/月,整棟出租,2房2廳,24.4坪,4F/15F,https://rent.591.com.tw/21645768,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.0624292,121.5167714,冰箱、洗衣機、冷氣、熱水器、天然瓦斯、陽台、電梯,有,有,無,有,有,無,無,無,無,有,無,無,有,有,無,
55,內湖站｜純住宅套房｜機能佳｜垃圾及包裹代收｜包水網,內湖區-金湖路,14500,元/月,共用套房,,7坪,5F/5F,https://rent.591.com.tw/21513005,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.0843165,121.5969546,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、網路WiFi、桌椅,有,有,無,有,有,有,有,無,有,無,無,有,無,無,無,
56,🚈市政府MRT🌟漫步僅約6分鐘｜稀有二房格局｜樹海景觀,信義區-基隆路一段,49500,元/月,整棟出租,2房2廳,15.7坪,10F/13F,https://rent.591.com.tw/21614374,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.0448655,121.5672260,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,有
57,雙租補｜象山流理台垃圾代收English,信義區-信義路五段150巷,29999,元/月,私人套房,,11.9坪,3F/13F,https://rent.591.com.tw/21597344,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.0258744,121.5694353,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、電梯、車位,有,有,有,有,有,有,有,無,無,無,有,有,無,有,有,
58,雙租補｜象山泳池小套房小廚房乾濕分離English,信義區-信義路五段,33999,元/月,私人套房,,14.8坪,18F/19F,https://rent.591.com.tw/21609916,2026-07-17 23:52:52,2人,學生、上班族、家庭,25.0330029,121.5728653,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,無,有,有,有,有,無,
59,⭐MRT行天宮⭐質感社區精緻美妝1+1房⭐設備齊全屋況優⭐,中山區-建國北路三段,58000,元/月,整棟出租,1房1廳,25.5坪,7F/14F,https://rent.591.com.tw/21548972,2026-07-17 23:52:52,1人,上班族、家庭,25.0645507,121.5368580,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,有,有,無,有,有,有,有,有,
60,中山區飯店式管理✨採光三房✨附家具家電✨機能優,中山區-德惠街,110000,元/月,整棟出租,3房2廳,58.4坪,3F/13F,https://rent.591.com.tw/21597417,2026-07-17 23:52:52,3人,學生、上班族、家庭,25.0676019,121.5261631,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
61,MRT中山｜美式裝潢高採光兩房,大同區-承德路一段,130000,元/月,整棟出租,2房2廳,42.9坪,11F/14F,https://rent.591.com.tw/21488371,2026-07-17 23:52:53,2人,學生、上班族、家庭,25.0541348,121.5184669,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、網路WiFi、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,無,有,有,有,有,無,有,有,有,有,有,有,有,
62,近帝寶✅景觀平面正四房✅全天候管理、有車位✅歡迎同業配案,大安區-建國南路一段,75000,元/月,整棟出租,4房2廳,45.7坪,8F/14F,https://rent.591.com.tw/21515582,2026-07-17 23:52:53,4人,學生、上班族、家庭,25.0403517,121.5356530,冰箱、洗衣機、冷氣、熱水器、衣櫃、天然瓦斯、陽台、電梯、車位,有,有,無,有,有,無,有,無,無,有,無,無,有,有,有,
63,南京三民亮麗套房,松山區-東興路33號,22000,元/月,共用套房,,12坪,5F/5F,https://rent.591.com.tw/21626393,2026-07-17 23:52:53,2人,學生、上班族、家庭,25.0485450,121.5658810,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅,有,有,有,有,有,有,有,有,有,無,有,有,無,無,無,
64,文德捷運超美大套房獨立大陽台及洗衣機,內湖區-文德路22巷27弄,15000,元/月,私人套房,,9坪,5F/5F,https://rent.591.com.tw/21647207,2026-07-17 23:52:53,2人,學生、上班族、家庭,25.0765171,121.5799104,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、陽台、車位,有,有,有,有,有,有,有,有,有,無,有,有,有,無,有,
65,1分鐘到西門商圈/西門租屋族首選／暖色調主題套房/搶手物件,萬華區-峨嵋街6巷2號,25000,元/月,私人套房,,12坪,2F/4F,https://rent.591.com.tw/21650772,2026-07-17 23:52:53,2人,學生、上班族、家庭,25.0431095,121.5077806,冰箱、洗衣機、電視、冷氣、床、衣櫃、第四台、網路WiFi、沙發、桌椅、陽台,有,有,有,有,無,有,有,有,有,無,有,有,有,無,無,
66,內科首選｜港墘站5分鐘｜大面採光套房｜家具家電全,內湖區-內湖路一段437巷2弄,18000,元/月,共用套房,,10坪,頂樓加蓋/5F,https://rent.591.com.tw/21588047,2026-07-17 23:52:53,2人,學生、上班族,25.0814874,121.5718812,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、網路WiFi、沙發、桌椅、陽台,有,有,無,有,有,有,有,無,有,無,有,有,有,無,無,
67,松山捷運站正隆one+全室裝潢3房車,松山區-饒河街,70000,元/月,整棟出租,3房2廳,25.9坪,12F/18F,https://rent.591.com.tw/21510795,2026-07-17 23:52:53,3人,上班族、家庭,25.0508047,121.5761894,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
