object_id,url,標題,價格(元/月),押金(元),管理費(元),地址,行政區,路段,緯度,經度,格局,房,廳,衛,廚,陽台,可住人數,房型,建物型態,坪數,樓層,總樓層,最短租期(月),刊登日,出租方類型,特色標籤
mjkluzdinao5uxh5,https://www.dd-room.com/object/mjkluzdinao5uxh5,近士東國小士東市場高島屋可租金補助,43000,86000,1800,臺北市士林區士東路,士林區,士東路,25.1129284,121.5352283,3房2廳2衛1廚1陽台,3,2,2,1,1,3,整層,elevator,36.7,2,7,12,2026-07-16,broker,可開伙、對外窗、保全設施、包裹代收、社會住宅、有電梯、水泥隔間、電費照台電、水費照台水、可報稅、有陽台、租金補貼、可入籍
jdmutgf4bxur6woc,https://www.dd-room.com/object/jdmutgf4bxur6woc,兆基社會住宅🏠友善屋源🧡文山區.全室油漆.低樓層.優質三,30000,60000,0,臺北市文山區興隆路四段,文山區,興隆路四段,24.989967,121.5595526,3房2廳1衛1陽台,3,2,1,0,1,3,整層,apt,28.6,2,4,12,2026-07-16,broker,可無火煮食、可報稅、可入籍、社會住宅、免仲介費、有陽台、租金補貼、可開伙
uxv8i1qp3umfzmph,https://www.dd-room.com/object/uxv8i1qp3umfzmph,兆基社會住宅🏠中正紀念堂/大露臺可寵/可租補入籍,39000,78000,1500,臺北市中正區金華街,中正區,金華街,25.0307433,121.5230236,2房2廳2衛1陽台,2,2,2,0,1,2,整層,elevator,39,8,9,12,2026-07-16,broker,可無火煮食、可養貓、可報稅、有電梯、可入籍、社會住宅、免仲介費、有陽台、租金補貼、可開伙
u8bchuvq9pfznuwl,https://www.dd-room.com/object/u8bchuvq9pfznuwl,兆基社會住宅🏠友善屋源🧡台北晶麒/精美一房一廳/可寵/可,39000,78000,2620,臺北市萬華區康定路,萬華區,康定路,25.0368274,121.5015066,1房1廳1衛1陽台,1,1,1,0,1,1,整層,elevator,14.9,13,26,12,2026-07-16,broker,可無火煮食、可養貓、可報稅、有電梯、可入籍、社會住宅、免仲介費、有陽台、可開伙、租金補貼
ujrbx9jvwkybfr7q,https://www.dd-room.com/object/ujrbx9jvwkybfr7q,兆基社會住宅🏠友善屋源🧡龍山寺站/寵可談/免爬高/可租補,23000,46000,0,臺北市萬華區環河南路二段,萬華區,環河南路二段,25.036949,121.4957855,2房1廳1衛1陽台,2,1,1,0,1,2,整層,apt,19.6,2,5,12,2026-07-16,broker,可無火煮食、可報稅、可入籍、社會住宅、免仲介費、有陽台、可開伙、租金補貼
xjalylqk8txlyfua,https://www.dd-room.com/object/xjalylqk8txlyfua,兆基社會住宅🏠近螢橋國中/台師大商圈/可租補,35000,70000,0,臺北市中正區水源路,中正區,水源路,25.0240425,121.5147413,2房1廳1衛1陽台,2,1,1,0,1,2,整層,elevator,18,8,13,12,2026-07-16,broker,可無火煮食、可報稅、有電梯、可入籍、社會住宅、免仲介費、有陽台、可開伙、租金補貼
iwjhw7w7ra2y0ukd,https://www.dd-room.com/object/iwjhw7w7ra2y0ukd,兆基社會住宅🏠友善屋源🧡捷運中山站/可租補入籍/晶華酒店,32000,64000,1820,臺北市中山區新生北路二段,中山區,新生北路二段,25.0297486,121.5327247,2房2廳1衛2陽台,2,2,1,0,2,2,整層,elevator,22,14,15,12,2026-07-16,broker,可無火煮食、可報稅、有電梯、可入籍、社會住宅、免仲介費、有陽台、可開伙、租金補貼
ukmdxw42htpdcs4g,https://www.dd-room.com/object/ukmdxw42htpdcs4g,捷運後山埤4分【超值租案】免爬梯★乾溼分離★衛浴開窗,16499,32998,0,臺北市南港區玉成街,南港區,玉成街,25.0502987,121.5817854,1房1衛,1,0,1,0,0,2,獨立套房,apt,4,1,4,12,2026-07-16,broker,
vujxzvynugadarsx,https://www.dd-room.com/object/vujxzvynugadarsx,溝子口考試院  設備齊全 二樓免爬高 拎包入住,21999,44000,0,臺北市文山區木柵路一段,文山區,木柵路一段,24.9886465,121.5571187,4房1廳2衛1廚1陽台,4,1,2,1,1,4,整層,apt,20,2,4,12,2026-07-16,broker,可開伙、對外窗、可養其他寵物、可報稅、可入籍、可養狗、電費照台電、租金補貼、有陽台、可養貓
iaiqz70qt3cx9uqp,https://www.dd-room.com/object/iaiqz70qt3cx9uqp,優質地段🍧可入籍🍧無法租補特惠價,18000,36000,0,臺北市文山區木柵路一段154,文山區,木柵路一段,24.9977825,121.5741323,3房2廳1衛1廚1陽台,3,2,1,1,1,3,整層,apt,25,4,4,12,2026-07-16,broker,可養貓、可開伙、對外窗、氣密窗、有電梯、可報稅、有陽台、可養狗、可養其他寵物、可入籍、電費照台電、租金補貼
o0vi43detjdvqdf1,https://www.dd-room.com/object/o0vi43detjdvqdf1,捷運大安3分【豪邸3房2衛】報稅洽★新裝潢★含車位,128000,256000,11905,臺北市大安區大安路一段,大安區,大安路一段,25.0432575,121.5461836,3房2廳2衛2陽台,3,2,2,0,2,3,整層,elevator,41,3,12,12,2026-07-15,broker,可開伙、有電梯、有陽台
840tx4jzlxyeyzs9,https://www.dd-room.com/object/840tx4jzlxyeyzs9,近捷運世貿【超值租案】採光優★男性專屬★獨立陽台,10299,20598,0,臺北市信義區嘉興街,信義區,嘉興街,25.0313711,121.5581263,1房1衛,1,0,1,0,0,2,獨立套房,apt,4,3,4,12,2026-07-15,broker,
6nvciasndqund7lr,https://www.dd-room.com/object/6nvciasndqund7lr,天母運動公園【超值3房2廳】可補助★養寵物★垃圾代收,31999,63998,333,臺北市士林區天母東路,士林區,天母東路,25.118193,121.5367728,3房2廳1衛1陽台,3,2,1,0,1,3,整層,apt,28,-1,7,12,2026-07-15,broker,可開伙、垃圾代收、有陽台、租金補貼
ubrmei2whhemthsl,https://www.dd-room.com/object/ubrmei2whhemthsl,天母運動公園【優質3房2衛】雙陽台★附傢俱★皆有窗,41999,83998,0,臺北市士林區中山北路六段,士林區,中山北路六段,25.1032702,121.5250883,3房2廳2衛2陽台,3,2,2,0,2,3,整層,apt,35,2,5,12,2026-07-15,broker,可開伙、有陽台
pexkspvmtdbsgfqx,https://www.dd-room.com/object/pexkspvmtdbsgfqx,捷運南京三民4分【優質2房1廳】有陽台★附傢俱★皆有窗,45999,91998,0,臺北市松山區南京東路五段,松山區,南京東路五段,25.0511644,121.5693308,2房1廳1衛1陽台,2,1,1,0,1,2,整層,apt,22,2,6,12,2026-07-15,broker,可開伙、有陽台
49m2fkmisbmycxmq,https://www.dd-room.com/object/49m2fkmisbmycxmq,捷運南京三民5分【優質2房1廳】雙陽台★附傢俱★皆有窗,41499,82998,0,臺北市松山區南京東路五段,松山區,南京東路五段,25.0511644,121.5693308,2房1廳1衛2陽台,2,1,1,0,2,2,整層,apt,22,2,6,12,2026-07-15,broker,可開伙、有陽台
4ovtvazz6bdcumjr,https://www.dd-room.com/object/4ovtvazz6bdcumjr,木柵市場【超值租案】採光優★獨立衛浴★小資首選,8999,17998,0,臺北市文山區木新路二段,文山區,木新路二段,24.9850982,121.5704141,1房1衛,1,0,1,0,0,2,獨立套房,apt,6,4,5,12,2026-07-15,broker,
lvaupohqzcuawirs,https://www.dd-room.com/object/lvaupohqzcuawirs,捷運永春5分【超值2房1廳】可補助★有陽台★皆有窗,26999,53998,0,臺北市信義區松山路,信義區,松山路,25.0349996,121.5797394,2房1廳1衛1陽台,2,1,1,0,1,2,整層,elevator,14,13,15,12,2026-07-15,broker,可開伙、有電梯、有陽台、租金補貼
idj6aabq6wf5dft0,https://www.dd-room.com/object/idj6aabq6wf5dft0,近捷運松江南京【超值租案】洗衣機★精緻裝潢★免爬梯,15998,31996,0,臺北市中山區南京東路一段,中山區,南京東路一段,25.0521308,121.5233964,1房1衛,1,0,1,0,0,2,獨立套房,apt,4,1,1,12,2026-07-15,broker,
qzbxpfx0ebahgzpp,https://www.dd-room.com/object/qzbxpfx0ebahgzpp,黎和公園【超值租案】雙窗採光★獨立衛浴★低樓層,8499,16998,0,臺北市大安區和平東路三段,大安區,和平東路三段,25.0109102,121.5639627,1房1衛,1,0,1,0,0,2,獨立套房,apt,4,2,2,12,2026-07-15,broker,
mcq7fw8t2ouyoeoz,https://www.dd-room.com/object/mcq7fw8t2ouyoeoz,近捷運松江南京【優質租案】大空間★瓦斯爐★獨洗衣機,19899,39798,500,臺北市中山區新生北路,中山區,新生北路,25.0565064,121.5281099,1房1衛1廚,1,0,1,1,0,2,獨立套房,apt,13,3,4,12,2026-07-15,broker,可開伙
ip6xj0wfhctsdj4w,https://www.dd-room.com/object/ip6xj0wfhctsdj4w,近捷運大橋頭【優質租案】可補助★雙面採光★獨立衛浴,16999,33998,0,臺北市大同區涼州街,大同區,涼州街,25.0605815,121.510336,1房1衛,1,0,1,0,0,2,獨立套房,apt,4,4,4,12,2026-07-15,broker,租金補貼
hnmul5m7wwzwjzpq,https://www.dd-room.com/object/hnmul5m7wwzwjzpq,劍潭捷運文昌套房,11000,22000,0,臺北市士林區中山北路五段,士林區,中山北路五段,25.1017715,121.5260559,1房1衛,1,0,1,0,0,2,分租套房,house,5,2,2,12,2026-07-15,broker,可無火煮食、對外窗、保全設施、電費照台電
cavfippngbmnhrda,https://www.dd-room.com/object/cavfippngbmnhrda,捷運南京復興5分【優質大空間】租補★採光佳★貓可洽,13199,26398,0,臺北市中山區遼寧街,中山區,遼寧街,25.0485439,121.5421529,1房1衛,1,0,1,0,0,2,獨立套房,apt,6,3,4,12,2026-07-15,broker,租金補貼
7dabgh8xe6uchgyi,https://www.dd-room.com/object/7dabgh8xe6uchgyi,師大分部【超值租案】大面採光★獨洗衣機★獨立陽台,9999,19998,0,臺北市文山區羅斯福路五段,文山區,羅斯福路五段,25.0038756,121.5391233,1房1衛,1,0,1,0,0,2,獨立套房,apt,7,4,5,12,2026-07-15,broker,
mphdcpgvrxvomva3,https://www.dd-room.com/object/mphdcpgvrxvomva3,捷運松山5分【超值租案】可補助★可開伙★獨立衛浴,9499,18998,0,臺北市南港區八德路四段,南港區,八德路四段,25.0488403,121.564381,1房1衛,1,0,1,0,0,2,獨立套房,apt,4,5,5,12,2026-07-15,broker,可開伙、租金補貼
iygdjtmrdla3grey,https://www.dd-room.com/object/iygdjtmrdla3grey,近捷運新北投【優質租案】可寵物★入籍洽★垃圾代收,19000,38000,2350,臺北市北投區光明路,北投區,光明路,25.1361231,121.5054011,1房1衛,1,0,1,0,0,2,獨立套房,elevator,10,13,13,12,2026-07-15,broker,可開伙、有電梯、垃圾代收、可入籍
siaouqrzinwtseg5,https://www.dd-room.com/object/siaouqrzinwtseg5,424F【學生首選】近台大、師大、捷運站｜可租補入籍,14800,29600,0,臺北市大安區浦城街4巷24號,大安區,浦城街,25.0237688,121.5268477,1房1衛,1,0,1,0,0,1,雅房,apt,7,3,4,99,2026-07-15,broker,可開伙、可無火煮食、有飲水機、對外窗、垃圾代收、定期清潔、電費照台電、水費照台水、可報稅、共生公寓、有陽台、可入籍、租金補貼
wbebhf4slqvghizg,https://www.dd-room.com/object/wbebhf4slqvghizg,💓萬華小資族套房/台電/可養貓🐱可拎包入住,9999,19998,0,臺北市萬華區長泰街,萬華區,長泰街,25.0228656,121.4998912,1房1衛,1,0,1,0,0,2,獨立套房,apt,6,4,3,12,2026-07-15,broker,可無火煮食、可養貓、對外窗、可養其他寵物
6qahhg3yzv58yw6b,https://www.dd-room.com/object/6qahhg3yzv58yw6b,💓忠孝新生捷運/善導寺捷運/可租補/採光/可養貓/北科大,10000,20000,0,臺北市中正區忠孝東路二段,中正區,忠孝東路二段,25.0425436,121.531746,1房,1,0,0,0,0,1,雅房,apt,6,2,5,12,2026-07-15,broker,可無火煮食、可養貓、租金補貼、可報稅、可入籍、對外窗
oxdlbs3h76hf0ew8,https://www.dd-room.com/object/oxdlbs3h76hf0ew8,💓大橋頭捷運採光套房/可養貓🐱獨立洗衣曬衣/短租可談,13999,27998,500,臺北市大同區保安街,大同區,保安街,25.059116,121.5125116,1房1衛,1,0,1,0,0,2,獨立套房,apt,8,3,2,12,2026-07-15,broker,可無火煮食、可養貓、對外窗
wmdsclybyxfshwxz,https://www.dd-room.com/object/wmdsclybyxfshwxz,💓忠孝新生捷運/善導寺/可養貓/可租補/華山文創,7500,15000,0,臺北市中正區忠孝東路二段,中正區,忠孝東路二段,25.0425436,121.531746,1房,1,0,0,0,0,1,雅房,apt,3,2,5,12,2026-07-15,broker,可無火煮食、可養貓、租金補貼、可報稅、可入籍
t9aagpgnr8vbq8n7,https://www.dd-room.com/object/t9aagpgnr8vbq8n7,👍南京三民MRT｜可租補公證租約｜高樓101景觀泳池飯店,34000,68000,2174,臺北市松山區南京東路五段,松山區,南京東路五段,25.0511644,121.5693308,1房1廳1衛1廚1陽台,1,1,1,1,1,1,整層,elevator,16,18,18,12,2026-07-15,broker,有電梯、水泥隔間、可無火煮食、對外窗、垃圾代收、包裹代收、電費照台電、水費照台水、可報稅、有陽台、可入籍、租金補貼
wjiaigyvsbe0nov0,https://www.dd-room.com/object/wjiaigyvsbe0nov0,D83A大雅房｜高CP值雅房｜租補可申請｜生活機佳,14800,29600,0,臺北市大同區哈密街83巷3號,大同區,哈密街,25.0740593,121.519404,1房1衛,1,0,1,0,0,1,雅房,apt,5,4,4,99,2026-07-15,broker,可開伙、可無火煮食、有飲水機、對外窗、氣密窗、垃圾代收、定期清潔、共生公寓、可報稅、電費照台電、租金補貼、可入籍、有陽台
clmcds7ko5tptrkt,https://www.dd-room.com/object/clmcds7ko5tptrkt,💓台北車站捷運/西門/可養貓咪/可租補/可報稅/陽台套房,15000,30000,0,臺北市中正區開封街一段,中正區,開封街一段,25.0459566,121.5104087,1房1衛1陽台,1,0,1,0,1,2,獨立套房,apt,7,2,3,12,2026-07-15,broker,可無火煮食、可養貓、租金補貼、可報稅、有陽台、可入籍、對外窗、可養其他寵物
yf6we0ryndqyzzwz,https://www.dd-room.com/object/yf6we0ryndqyzzwz,💓中山國小捷運/樓中樓🏡可養貓🐱台電/短租可談,27500,55000,0,臺北市中山區新生北路二段,中山區,新生北路二段,25.0297486,121.5327247,1房1廳1衛,1,1,1,0,0,1,整層,elevator,11.7,8,12,12,2026-07-15,broker,可無火煮食、可養貓、有電梯、對外窗、電費照台電、水費照台水、垃圾代收
hwwfhlvilhkclxqz,https://www.dd-room.com/object/hwwfhlvilhkclxqz,565C💻南軟工程師首選｜步行上班｜優質套房｜可租補✨,16800,33600,0,臺北市南港區三重路5號,南港區,三重路,25.0614371,121.6138333,1房1衛,1,0,1,0,0,2,分租套房,apt,6,5,5,99,2026-07-15,broker,可開伙、可無火煮食、有飲水機、定期清潔、垃圾代收、電費照台電、水費照台水、可報稅、可入籍、租金補貼
fhzjonfzdei5s0w4,https://www.dd-room.com/object/fhzjonfzdei5s0w4,55A⭐遠企商圈・敦南林蔭大道旁｜獨洗獨陽台套房｜雙租補,22800,45600,800,臺北市大安區敦化南路二段55巷8號,大安區,敦化南路二段,25.0206622,121.5483922,1房1衛1陽台,1,0,1,0,1,2,分租套房,elevator,9,3,7,99,2026-07-15,broker,可開伙、可無火煮食、有飲水機、對外窗、有電梯、水泥隔間、定期清潔、包裹代收、垃圾代收、保全設施、電費照台電、水費照台水、可報稅、共生公寓、有陽台、可入籍、租金補貼
zqi1eeystkraiuzg,https://www.dd-room.com/object/zqi1eeystkraiuzg,前房客用來辦公聯絡會面，住他處,12000,24000,0,臺北市中正區水源路33巷10號,中正區,水源路,25.0240425,121.5147413,2房1廳1衛1廚2陽台,2,1,1,1,2,2,整層,apt,14,3,5,12,2026-07-15,individual,可養貓、可養狗、可開伙、免仲介費、電費照台電、水費照台水、有陽台
cqumwg0pfrih0iic,https://www.dd-room.com/object/cqumwg0pfrih0iic,💓台北車站捷運/補習街/可養貓/代收垃圾/短租可談,8000,16000,0,臺北市中正區南陽街,中正區,南陽街,25.0444464,121.5161033,1房,1,0,0,0,0,1,雅房,apt,5,5,4,12,2026-07-15,broker,可無火煮食、可養貓、垃圾代收
7igdkscjmi4fg03w,https://www.dd-room.com/object/7igdkscjmi4fg03w,💓新北投/採光套房/可租補/可報稅/全新床墊/可養貓,9000,18000,0,臺北市北投區中和街,北投區,中和街,25.1405111,121.5002439,,0,0,0,0,0,2,獨立套房,apt,4,5,5,12,2026-07-15,broker,可無火煮食、可養貓、租金補貼、可報稅、可入籍、可養狗、對外窗、可養其他寵物
mgthsfnaare24ft4,https://www.dd-room.com/object/mgthsfnaare24ft4,青年公園【超值1房1廳】可開伙★有陽台★獨洗衣機,14999,29998,0,臺北市萬華區青年路,萬華區,青年路,25.0250272,121.5034777,1房1廳1衛1陽台,1,1,1,0,1,1,整層,apt,8,4,5,12,2026-07-15,broker,可開伙、有陽台
tqkslgkw4tzplykg,https://www.dd-room.com/object/tqkslgkw4tzplykg,💓台北車站捷運/西門捷運套房/可租補/可養貓咪,12000,24000,0,臺北市中正區開封街一段,中正區,開封街一段,25.0459566,121.5104087,1房1衛,1,0,1,0,0,2,獨立套房,apt,6.5,3,3,12,2026-07-15,broker,可無火煮食、可養貓、租金補貼、可報稅、可入籍、對外窗
vrw4jbdwoxrej8bu,https://www.dd-room.com/object/vrw4jbdwoxrej8bu,捷運麟光5分【優質3房2廳】可補助★低樓層★報稅入籍,41499,82998,0,臺北市大安區安居街,大安區,安居街,25.0185559,121.552177,3房2廳1衛2陽台,3,2,1,0,2,3,整層,apt,30,2,4,12,2026-07-15,broker,可開伙、有陽台、租金補貼、可入籍
cn4elirj5elnutwt,https://www.dd-room.com/object/cn4elirj5elnutwt,💓大橋頭捷運/可養貓/一樓/可租補/兩房無採光,23500,47000,0,臺北市大同區保安街,大同區,保安街,25.059116,121.5125116,2房1廳1衛1陽台,2,1,1,0,1,2,整層,apt,18,1,2,12,2026-07-15,broker,可無火煮食、可養貓、可報稅、可入籍、有陽台、對外窗
krvrpj849a1pqejv,https://www.dd-room.com/object/krvrpj849a1pqejv,💓中山捷運/松江南京捷運/電梯/可養貓/屋況需要整理,16500,33000,0,臺北市中山區南京東路一段,中山區,南京東路一段,25.0521308,121.5233964,1房1衛,1,0,1,0,0,2,獨立套房,elevator,6,7,7,12,2026-07-15,broker,可無火煮食、可養貓、可報稅、有電梯、可入籍、對外窗、租金補貼
3v32sbooqowkkvuj,https://www.dd-room.com/object/3v32sbooqowkkvuj,捷運台電大樓1分【優質電梯】雙面採光★獨洗衣機★獨立衛浴,15499,30998,500,臺北市大安區師大路,大安區,師大路,25.0218269,121.528185,1房1衛,1,0,1,0,0,2,獨立套房,elevator,4,5,7,12,2026-07-15,broker,
m4sjrhgxxvyyelxn,https://www.dd-room.com/object/m4sjrhgxxvyyelxn,內湖分租套房,9800,19600,0,臺北市內湖區金龍路,內湖區,金龍路,25.087531,121.5875696,1房1衛,1,0,1,0,0,2,分租套房,apt,4,5,6,12,2026-07-14,agent,對外窗、水泥隔間、免仲介費、租金補貼
aoh6mr0iccmtyj6u,https://www.dd-room.com/object/aoh6mr0iccmtyj6u,北投捷運站●景觀三房附車位,62000,124000,4427,臺北市北投區光明路,北投區,光明路,25.1361231,121.5054011,3房2廳2衛1廚1陽台,3,2,2,1,1,3,整層,elevator,46.2,19,29,12,2026-07-14,broker,可開伙、水泥隔間、有電梯、氣密窗、對外窗、垃圾代收、包裹代收、有陽台、水費照台水、電費照台電
gxkrnciylfmyfk7i,https://www.dd-room.com/object/gxkrnciylfmyfk7i,近捷運台北小巨蛋【優質電梯】可補助★警衛管理★雙窗採光,17999,35998,1551,臺北市松山區八德路三段,松山區,八德路三段,25.0480249,121.5554986,1房1衛1陽台,1,0,1,0,1,2,獨立套房,elevator,17,8,12,12,2026-07-14,broker,可開伙、有電梯、有陽台、租金補貼
